Company Name,Logo URL,Website URL,Type,Booth,Country,Company Industry,Sector(s),Region(s),Funding Stage,Business type,Founding Year,Number of Employees,LinkedIn,Instagram,Description
10Pearls,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/32231d3b1a89464daddc7882e827ec75.png.webp?VersionId=wEhj4vRPY3SFOrf5grFspKyQJKnqH_vu&amp;itok=THmdw-ED,https://10pearls.com,Exhibitor,H3.B81,United States,"Technology, Software and IT Services",,Africa; Asia; LATAM; MENA; North America; Middle East,No Funding Yet/Bootstrapped,B2B,2004,500+,10pearls,10pearls,"Since its inception, 10Pearls has been a ""double bottom line"" company, created to deliver superior services and make a difference in the world. Our founders understood first-hand how good jobs could change entire communities, particularly in emerging countries. The value of high-paying jobs was evident in the enriched lives of families, creating a ripple effect throughout an entire community.Fast-forward to today, 10Pearls is helping startups and enterprises alike to compete in the digital age while investing heavily in the wellbeing and training of our offshore teams. We partner with our clients to imagine, design, build, and deliver innovative mobile and digital products."
365 destinations,,https://destinationsinternational.org,,,,,,,,,,,365destinations,365dest,"Discover amazing travel destinations around the world. Get inspired by beautiful beaches, vibrant cities, hidden gems, and unforgettable places for your next adventure. ️🌍"
3D Engineering,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/2fe2b68c0565432586df91cfc76ffe76.png.webp?VersionId=xVCXh_Yt9MHbWbBSbSaaHzXvv62W7WGQ&amp;itok=2IUuUYLO,https://www.3d-engineering.eu,Exhibitor,H3.H150,United States,"Energy, Utilities & Natural Resources; Technology, Software and IT Services",,Europe; MENA; North America,Seed,B2B; B2G,2016,21-50,3dengineering,engineers3d,"3D Engineering is a trusted British Petroleum partner for digital twin solutions specializing in 3D laser scanning, engineering-grade digital twins, 3D modelling and asset integrity solutions for complex industrial facilities. The company supports energy, oil and gas, infrastructure and manufacturing clients by converting physical assets into accurate, actionable digital environments that improve inspection, maintenance, engineering and operational decision-making.Building on this industrial experience, 3D Engineering created HelmX as a technology spin-off. HelmX is developing an AI-powered smart safety helmet that combines 360° visual capture, positioning, connectivity and intelligent data processing to document industrial environments during routine work. The technology is designed to automate data collection, detect changes and hazards, support remote collaboration and continuously update digital twins—without requiring separate scanning operations."
3D System Company,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/7ed625e549864dbfbe3ed8f76945cbe8.png.webp?VersionId=hOdVQoEbr7i5SRC_5lxdqAASIqc3ePXk&amp;itok=4IBVUCKv,https://www.3dsystems.com,Exhibitor,H3.D80,Saudi Arabia,"Retail, E-commerce and Consumer Goods; Technology, Software and IT Services",,Asia; MENA,,B2B2C,2004,51-99,3d-sysco,,"3D Systems Company is a leading provider of POS, self-service kiosk, and retail technology solutions across the GCC. We deliver scalable, integrated solutions that help F&B, retail, and hospitality businesses improve operational efficiency, enhance customer experiences, and support multi-location operations.With proven deployments across major brands, we focus on reliability, innovation, and long-term business performance."
3Pillars for Communications and Information Technology,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://3pillarsdata.com,Exhibitor,H3.F140,,,,,,,,,3pillars-group,3pillars.llc,"With a diversed portfolio, the group encompassed three specialized companies - 3Pillars Technology & Communications, 3Pillars Digitalizations & EnviroMet. These entities synergistically cover spectrum of end-to-end IT solution adding to it the smart and innovated enviromental solutions."
42Gears,,https://42gears.com,Exhibitor,H3.D88,,,,,,,,,42gears,42gears,4 Years is a 2022 Indian Malayalam-language film directed by Ranjith Sankar and produced by Dreams N Beyond. The film stars Sarjano Khalid and Priya Prakash Varrier.
4Rounds,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/f567feb143ec47329b8cda6b13c3dc8b.png.webp?VersionId=XlMv0bdGG4vUs.qhhgNYOOqcXqk_xLGD&amp;itok=Fs6XUtHm,https://rounds.com,,,,,,,,,,,7amdaan,4roundsbitters,"40 Pounds of Trouble is a 1962 comedy film directed by Norman Jewison and starring Tony Curtis, Suzanne Pleshette, Larry Storch and Phil Silvers. It is a retelling of Damon Runyon's 1932 short story Little Miss Marker, filmed in 1934 as Little Miss Marker, in 1949 as Sorrowful Jones and in 1980 as Little Miss Marker."
4th Layer,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/024bf7f8b1ba4e66a5a1dc3ee7e67418.jpeg.webp?VersionId=YwlSqE7ESr3_hgGqM7EiBhsPbqpEokaG&amp;itok=wyDWJNN-,https://layer.com,,,,,,,,,,,layer-3-technologies_2,thefourthlayer,"The 4th Alberta Legislative Assembly was in session from February 7, 1918, to June 23, 1921, with the membership of the assembly determined by the results of the 1917 Alberta general election held on June 7, 1917. The Legislature officially resumed on February 7, 1918, and continued until the fourth session was prorogued on April 19, 1921 and dissolved on June 23, 1921, prior to the 1921 Alberta general election.Alberta's second government was controlled by the majority Liberal Party led by Prem"
7amdaan.io,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/a8bbb0eb181243fea3de04cf3ae60197.png.webp?VersionId=qLjjYoGCTBQSn4rNjB5fkuPpNKhiVAcd&amp;itok=wa7hmF8d,https://7amdaan.io,,,,,,,,,,,wilyerofficial,yoloansari,7amdaan.io is an interactive robotics solution company in the AdTech Space specialized in DOOH Advertising.
7Bots.ai,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://7bots.ai,,,,,,,,,,,7bots-ai,cleverbotix,"Welcome to 7Bots.ai, the unique solution for streamlining software development processes. Our one-of-a-kind technology empowers software development teams—including analysts, product owners, UX..."
